Series ID,Material,Apr-2025,May 2024,Feb-2020,1Y Rolling Avg,2Y Rolling Avg,3Y Rolling Avg
WPU1017,Steel Mill Products,7.0770508224377915,8.842995136721111,73.4076840981857,0.7823313392875583,-0.2023329058285603,-0.6839466394310227
WPU101706,Steel Pipe and Tube,1.3442240496296387,2.086405737748387,41.86435680058974,0.190303224833152,-0.4249720305687487,-0.749111314446563
WPU102502,Copper and Brass Mill Shapes,-1.2850796674206189,-1.2600236274015075,66.54334038054971,-0.0796049711640547,0.3507211772748101,0.1005703262809943
WPU102501,Aluminum Mill Shapes,-3.6060259630860902,8.797999991511007,36.416711016498134,0.7276449292568802,0.3443171006541397,-0.2067472549280709
WPU1073,Sheet Metal Products,0.0414426896003128,2.357813157699251,51.91272393201655,0.1961392760005851,0.2015290639125681,0.1457561317349534
WPU107405,Fabricated Structural Metal,0.4937300527399824,7.069711357298969,55.23470279720279,0.5769166227491196,-0.054848967689824,-0.1587463626564592
WPU1074051,Fabricated Structural Metal Bar Joists and Rebar,-0.119600820302157,8.459830782604483,45.119555143651525,0.7069349338266399,-0.4710281393148289,-0.4069304654819954
WPU10740514,Fabricated Structural Metal for Non-Industrial Buildings,-0.107620225467353,8.732768105624222,38.04683648315528,0.74018813055027,-0.7482866461382992,-0.5598987907068526
WPU10740553,Fabricated Structural Metal for Bridges,-2.1356588423496525,-6.069947784110596,46.799253034547164,-0.4767426303052186,-0.0917054420497341,-0.1718061207853098
WPU107408,Ornamental and Architectural Metal Work,-0.3665350612995555,9.602502922126432,104.64949130292092,0.7868033362452213,0.7515396908411258,0.4986705498160512
WPU1076,Fabricated Steel Plate,0.0,12.71613560572391,70.1560931081698,1.0596779671436591,0.5298389835718296,0.326588272061289
WPU1079,Prefabricated Metal Buildings,0.9194025708949782,-0.6720297274326548,61.91652021089632,-0.0538804248941686,0.1114565206717367,-0.0097156341283482
WPU112,Construction MAchinery and Equipment,0.6750851487693499,2.031372625641925,32.48245243128965,0.1681108616764709,0.2385798145121117,0.4021597619497679
WPU07120105,Truck and Bus (Inc Off Highway) Pneumatic Tires,0.1232939864698412,1.5633411455076462,26.456330399458377,0.131276453014719,-0.0216967880119952,0.0640757097416872
WPU058102,Asphalt (At Refinery),-2.5842490198147883,-9.733737562526946,26.823409669211195,-0.6149112707034275,-0.0054224736918692,-0.7489998732283055
WPU1321,Construction and Sand/Gravel/Crushed Stone,0.1608962858342444,7.316489606445753,45.49015802606044,0.5956566760047178,0.585248499739735,0.6886353835993366
WPU1012,Iron and Steel Scrap,-8.58917945897295,-5.46672428694901,28.61180904522613,-0.3538284055967448,-0.6627302435991148,-0.9127547956576794
WPU101212,Stainless and Alloy Steel Scrap,6.159204027995724,-8.56867459889722,26.493547462001732,-0.707979872210896,-0.2151606916013299,-0.9408811414325444
WPU102301,Copper Base Scrap,1.8502068592435084,-7.532356273405627,70.62899073120494,-0.5586050038674361,0.4532912425287407,0.1762066978690512
